Género,Idade,Escolaridade,Os costumes e tradições,Ouro e Traje,Desfile das Mordomas,Festa religiosa,Procissão do Mar e bênção dos barcos dos pescadores,Artesanato,Conjunto das Atividades Festivas,Tapetes,Cortejo Etnográfico,Gastronomia,Concertos,Atividades de animação,Restauração,Alojamento,Informação e sinalização turística,Transportes e mobilidade,Parqueamento/ Estacionamento,Hospitalidade,Qualidade ambiental,Limpeza geral,Segurança,Conhecer a cultura e tradições,Qualidade da água dos rios e mar,Paisagem e natureza,Cobertura wi-fi, Relação com os comerciantes´~,Programa online da Romaria,Organização do evento,Recomendaria a visita,Interação com os turistas,Existe uma diminuição da qualidade dos serviços em época alta,Aumentar a segurança,Preservação do património,Promoção das tradições festivas,Preservação e valorização das artes e ofícios tradicionais,Aumento da oferta de eventos culturais,Aumento do ruído e congestionamento do tráfego,Aumento da poluição do meio ambiente,Limpeza dos espaços públicos
Masculino,Entre 35 a 44 anos,Licenciatura,5,5,5,3,3,5,5,5,5,5,5,5,5,5,3,1,1,5,5,5,5,5,5,5,5,5,10,5,Sim,4,4,4,5,5,5,5,5,5,5
Feminino,Entre 35 a 44 anos,12.º ou equivalente,5,4,4,4,5,3,5,5,4,4,3,4,4,3,3,3,3,4,4,3,4,4,4,4,3,4,7,4,Sim,5,4,3,4,4,4,4,4,4,3
Feminino,Entre 18 a 24 anos,Curso Tecnológico/ Profissional,3,3,3,3,3,2,4,4,5,5,5,2,4,3,3,3,4,3,1,1,2,2,3,3,1,4,5,2,Não,3,5,3,3,3,3,3,5,5,1
Masculino,Entre 35 a 44 anos,Mestrado,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,Sim,5,1,1,5,5,5,5,5,4,1
Feminino,Entre 25 a 34 anos,Licenciatura,4,3,4,3,2,3,4,4,4,4,3,5,5,4,5,3,3,5,5,5,5,5,4,5,4,5,8,4,Sim,4,3,4,5,5,5,5,5,3,4
Feminino,Entre 25 a 34 anos,Pós-Graduação,4,3,4,2,3,3,4,4,2,4,4,2,2,2,2,1,1,3,3,2,2,2,3,3,2,3,3,2,Sim,3,4,1,2,2,3,3,4,5,2
Masculino,Entre 45 a 54 anos,Licenciatura,4,4,4,4,4,4,4,4,4,3,3,4,3,2,2,2,3,2,2,3,3,3,3,3,1,3,6,5,Sim,2,4,1,3,3,3,3,5,5,1
Feminino,Entre 35 a 44 anos,Licenciatura,4,4,4,4,4,4,4,4,4,3,3,4,2,2,2,1,1,4,1,4,4,4,4,4,1,4,10,4,Sim,4,4,4,4,4,4,4,3,3,1
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,3,3,5,4,3,4,5,5,5,3,5,9,5,Sim,5,4,3,4,4,4,4,5,4,3
Masculino,Entre 45 a 54 anos,Licenciatura,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,3,5,10,5,Sim,5,2,4,4,4,4,4,4,2,2
Feminino,Entre 35 a 44 anos,Mestrado,5,5,2,5,5,5,2,5,2,3,1,3,3,3,5,1,1,5,5,5,3,5,3,5,3,5,8,4,Sim,5,5,3,4,5,5,5,5,5,3
Masculino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,10,5,Sim,5,4,1,3,5,4,4,4,3,2
Feminino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,10,5,Sim,5,3,3,3,5,5,5,3,2,4
Feminino,Entre 45 a 54 anos,Licenciatura,5,4,4,5,4,4,5,4,5,3,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,9,5,Sim,4,4,3,4,4,4,4,2,2,2
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,3,3,2,3,3,5,4,3,4,4,3,4,2,1,5,4,4,4,5,5,5,1,4,8,4,Sim,4,5,1,4,5,5,5,5,5,3
Feminino,Entre 18 a 24 anos,Licenciatura,4,4,4,3,4,3,3,4,4,3,4,4,3,5,3,4,3,4,4,4,4,4,3,4,4,5,10,5,Sim,5,5,5,2,4,3,5,5,4,4
Feminino,Entre 25 a 34 anos,12.º ou equivalente,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,1,1,5,5,4,5,5,5,5,5,5,6,4,Sim,5,5,5,3,5,5,5,5,1,1
Feminino,Entre 55 a 64 anos,12.º ou equivalente,4,4,4,3,3,3,4,3,4,3,4,3,2,3,1,1,1,4,3,3,3,3,3,5,3,4,8,3,Sim,4,4,2,2,4,2,3,3,3,2
Feminino,Entre 45 a 54 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,10,5,Sim,5,5,4,5,5,5,5,3,3,4
Feminino,Entre 35 a 44 anos,Mestrado,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,3,5,9,5,Sim,5,4,3,4,5,5,5,4,4,2
Feminino,Entre 25 a 34 anos,9.º ano de escolaridade,4,4,3,4,5,4,4,5,5,4,3,4,2,3,4,1,1,5,5,4,4,5,4,5,2,5,10,4,Sim,4,5,3,3,5,4,4,1,1,1
Feminino,Entre 35 a 44 anos,Curso Tecnológico/ Profissional,4,4,4,4,4,3,4,4,3,4,3,5,5,5,5,3,3,5,5,4,5,5,4,5,3,5,10,5,Sim,5,2,2,5,5,5,5,2,2,2
Feminino,Entre 45 a 54 anos,Mestrado,5,5,5,5,5,4,5,5,5,4,5,4,4,3,4,3,1,4,3,2,4,4,3,3,1,5,9,5,Sim,4,4,3,2,4,4,4,5,3,2
Feminino,Entre 55 a 64 anos,Pós-Graduação,5,5,5,5,5,4,5,5,5,5,3,5,4,4,4,3,3,5,5,4,5,5,4,5,5,3,9,5,Sim,4,5,2,4,5,5,4,5,5,3
Feminino,Entre 55 a 64 anos,Licenciatura,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,Sim,3,3,4,4,5,5,5,3,3,3
Masculino,Entre 25 a 34 anos,Licenciatura,5,5,5,4,4,4,3,5,5,4,4,2,2,2,3,2,2,3,3,2,3,3,3,3,2,4,7,4,Sim,4,1,3,3,3,3,3,3,1,4
Feminino,Entre 55 a 64 anos,12.º ou equivalente,4,4,4,4,4,3,4,3,4,3,3,4,3,3,2,3,2,4,4,4,2,4,3,4,3,5,9,4,Sim,4,5,2,2,2,2,2,4,2,2
Masculino,Entre 55 a 64 anos,12.º ou equivalente,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,3,5,5,5,5,5,5,5,5,5,9,5,Sim,4,1,4,4,5,5,5,4,4,4
Feminino,Entre 35 a 44 anos,Pós-Graduação,5,5,5,4,5,4,4,5,5,5,3,5,4,3,3,3,3,5,5,4,5,4,4,4,3,4,5,5,Sim,5,4,3,4,5,5,5,5,3,3
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,1,1,5,5,5,5,3,5,4,3,3,4,4,3,4,4,4,3,4,4,4,1,4,9,5,Sim,4,4,3,5,5,5,4,4,4,3
Masculino,Menos de 17 anos,11.º ano,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,Sim,5,5,5,5,5,5,5,5,5,5
Masculino,Entre 35 a 44 anos,Licenciatura,5,5,4,4,4,3,3,3,4,3,3,4,3,3,3,2,1,4,4,3,4,4,4,4,3,4,9,4,Sim,4,4,3,4,4,4,3,4,3,2
Feminino,Entre 35 a 44 anos,Licenciatura,4,3,2,3,3,3,3,4,4,3,3,2,3,3,3,1,2,5,5,5,5,5,5,5,2,5,8,5,Sim,5,5,5,4,5,5,5,5,4,5
Feminino,Entre 25 a 34 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,4,4,10,5,Sim,4,3,3,3,4,4,4,2,3,4
Feminino,Entre 25 a 34 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,10,5,Sim,4,5,2,2,5,5,5,5,5,1
Feminino,Entre 35 a 44 anos,Mestrado,5,5,5,4,4,4,5,5,4,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,4,4,8,5,Sim,4,4,3,5,5,5,5,3,3,4
Feminino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,4,5,3,5,5,5,5,5,5,3,5,5,3,2,5,5,3,5,5,5,5,1,5,10,5,Sim,3,4,3,3,5,5,5,5,4,4
Feminino,Entre 35 a 44 anos,Mestrado,5,5,4,3,5,4,5,5,5,5,4,4,4,3,4,3,3,4,4,4,4,4,4,5,3,4,7,4,Sim,4,3,2,5,5,5,5,4,4,4
Feminino,Entre 25 a 34 anos,Mestrado,5,4,5,4,4,4,4,5,5,5,4,5,4,4,5,5,5,5,4,4,5,5,4,5,3,5,10,5,Sim,4,4,4,4,3,3,4,5,3,3
Masculino,Entre 35 a 44 anos,12.º ou equivalente,4,3,3,1,2,2,3,3,3,3,2,4,4,4,4,4,1,5,5,2,4,4,4,5,2,4,7,3,Sim,3,4,2,4,5,4,4,5,4,2
Feminino,Entre 25 a 34 anos,Licenciatura,5,5,4,2,3,2,4,5,4,3,2,5,5,3,4,5,5,5,5,5,5,5,5,5,4,5,9,5,Sim,5,2,4,5,5,5,5,4,3,3
Feminino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,4,4,4,4,5,5,4,5,3,5,3,3,3,2,5,4,3,3,4,4,5,3,5,8,3,Sim,4,5,3,3,4,4,5,3,4,2
Feminino,Entre 35 a 44 anos,Pós-Graduação,3,3,3,2,2,1,1,3,3,1,1,2,3,2,2,2,2,3,3,3,3,3,3,3,3,5,10,5,Sim,3,2,2,3,3,3,3,1,1,2
Feminino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,1,3,5,5,5,5,5,5,1,5,5,5,2,2,5,5,5,5,5,5,5,5,5,6,4,Sim,5,4,2,5,5,5,5,4,4,2
Feminino,Entre 18 a 24 anos,12.º ou equivalente,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,5,10,5,Sim,4,2,4,4,4,4,4,3,2,3
Feminino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,3,3,5,5,4,5,3,4,5,3,3,4,4,4,5,5,5,5,5,5,5,3,4,8,5,Sim,4,4,3,4,5,3,4,4,3,2
Masculino,Entre 45 a 54 anos,12.º ou equivalente,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,3,4,3,1,3,3,3,3,2,4,5,4,Sim,4,2,4,4,3,4,4,5,5,2
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,4,3,5,5,3,5,5,2,5,3,3,5,1,1,5,5,4,5,5,5,5,1,3,5,5,Sim,5,5,3,5,5,5,5,5,4,2
Feminino,Entre 35 a 44 anos,Curso Tecnológico/ Profissional,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,1,1,4,1,1,3,4,4,4,1,3,8,4,Sim,5,4,3,4,4,4,4,4,5,4
Feminino,Entre 35 a 44 anos,Licenciatura,5,5,5,1,5,5,4,5,5,5,4,4,4,3,3,3,3,5,4,4,4,5,4,5,3,5,5,5,Sim,5,4,2,2,5,4,4,5,4,4
Masculino,Entre 25 a 34 anos,Curso Tecnológico/ Profissional,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,3,4,3,5,8,4,Sim,4,3,4,4,4,4,4,4,1,4
Feminino,Entre 18 a 24 anos,Licenciatura,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,3,3,5,4,4,4,5,4,4,3,4,9,4,Sim,4,5,4,4,5,5,4,4,4,4
Feminino,Entre 35 a 44 anos,Licenciatura,4,3,4,3,3,4,4,5,5,4,3,4,3,3,4,1,2,4,3,4,4,4,4,4,1,4,5,4,Sim,4,4,2,4,4,4,4,4,4,2
Feminino,Entre 25 a 34 anos,Pós-Graduação,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,3,4,4,5,5,5,4,5,4,4,10,5,Sim,4,4,3,4,4,4,4,2,3,3
Feminino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,5,5,3,2,5,5,3,5,4,3,3,2,2,1,4,4,4,5,5,2,4,1,4,9,3,Sim,4,5,5,5,5,4,4,4,4,2
Masculino,Entre 35 a 44 anos,Curso Tecnológico/ Profissional,5,5,5,5,5,3,3,5,5,3,3,4,2,3,3,2,2,4,4,4,4,3,3,4,3,3,6,4,Sim,4,4,2,3,4,2,4,5,5,1
Feminino,Entre 25 a 34 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,2,1,4,3,3,3,4,4,4,3,4,8,3,Sim,3,5,1,5,4,4,4,5,5,1
Feminino,Mais de 65 anos,Licenciatura,5,5,5,4,4,5,5,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5,4,5,4,4,8,4,Sim,4,4,5,4,5,4,4,4,4,5
Feminino,Entre 35 a 44 anos,Mestrado,5,5,3,3,3,4,5,5,5,1,4,5,3,3,3,3,2,4,4,4,5,5,5,5,2,5,6,4,Sim,5,5,1,5,5,5,4,5,4,2
Feminino,Entre 25 a 34 anos,12.º ou equivalente,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,10,5,Sim,3,2,3,3,3,3,3,2,2,4
Masculino,Entre 35 a 44 anos,Licenciatura,4,3,3,3,3,4,5,5,4,5,4,4,5,4,3,1,1,3,3,3,2,3,2,5,2,3,8,3,Sim,5,5,2,4,4,4,4,5,2,2
Masculino,Entre 25 a 34 anos,Mestrado,5,5,4,2,5,4,5,4,5,5,5,3,3,2,1,1,1,5,5,3,5,5,3,5,1,5,7,5,Sim,4,3,1,3,3,3,4,5,4,2
Feminino,Entre 45 a 54 anos,12.º ou equivalente,4,4,4,4,4,4,3,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,9,5,Sim,4,3,4,3,4,4,4,4,4,5
Feminino,Entre 45 a 54 anos,12.º ou equivalente,5,5,4,4,5,4,4,4,5,5,4,4,5,4,4,3,3,5,4,5,4,4,4,4,4,5,9,4,Sim,4,2,2,4,4,4,4,4,4,4
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,3,5,8,4,Sim,5,4,1,4,5,5,5,5,4,2
Feminino,Entre 45 a 54 anos,Licenciatura,5,4,4,3,3,4,5,5,4,4,5,5,2,5,4,3,5,5,4,3,4,5,5,5,3,4,9,4,Sim,4,4,3,3,4,4,4,4,4,3
Feminino,Entre 35 a 44 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,2,4,4,5,4,5,4,4,3,4,8,4,Sim,4,5,1,2,3,3,5,5,3,4
Feminino,Entre 25 a 34 anos,Licenciatura,4,3,4,2,3,2,2,4,3,2,2,4,3,3,3,3,2,5,5,5,5,5,3,4,3,4,10,5,Sim,4,4,3,4,4,3,5,4,3,3
Feminino,Entre 35 a 44 anos,Licenciatura,5,5,5,5,5,3,3,4,5,4,3,4,3,3,3,3,3,5,5,4,4,5,4,5,3,5,10,5,Sim,4,4,3,3,5,5,5,5,5,5
Masculino,Entre 18 a 24 anos,Licenciatura,5,5,5,5,5,5,5,5,5,4,4,3,3,5,4,2,2,4,5,3,5,5,5,5,1,5,9,5,Sim,5,3,3,2,3,3,3,3,4,1
Feminino,Entre 25 a 34 anos,Curso Tecnológico/ Profissional,5,5,5,4,5,5,5,4,5,5,4,5,4,4,4,3,4,5,5,3,4,5,4,5,3,5,8,5,Sim,5,4,3,4,5,5,4,3,3,4
Feminino,Entre 55 a 64 anos,Curso Tecnológico/ Profissional,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,5,Sim,2,1,2,3,2,2,3,4,3,4
Feminino,Entre 35 a 44 anos,12.º ou equivalente,5,4,5,5,5,4,3,5,5,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,8,5,Sim,4,4,4,3,5,5,5,5,5,4
Feminino,Entre 35 a 44 anos,Pós-Graduação,5,5,5,5,5,5,5,5,5,3,5,5,3,1,3,1,1,5,5,4,5,5,3,5,1,5,10,5,Sim,4,5,3,4,4,4,2,5,3,3
Feminino,Entre 35 a 44 anos,Licenciatura,4,4,4,3,3,3,4,5,4,4,5,4,3,3,2,1,2,5,3,3,4,5,5,5,4,4,7,4,Sim,4,5,3,5,4,4,2,5,4,2
Masculino,Entre 18 a 24 anos,12.º ou equivalente,4,4,4,3,4,4,5,3,4,4,5,5,5,4,4,4,2,4,4,5,4,4,5,5,2,4,8,5,Sim,5,3,3,4,4,3,4,3,3,3
Masculino,Entre 55 a 64 anos,4.º ano de escolaridade,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,2,2,10,5,Sim,3,2,3,3,3,3,3,2,2,3
Masculino,Entre 55 a 64 anos,Licenciatura,5,4,4,4,5,3,5,5,5,4,3,5,4,3,3,3,1,4,4,4,5,5,4,5,5,5,5,4,Sim,4,5,3,5,5,4,5,5,3,5
Masculino,Entre 45 a 54 anos,Licenciatura,3,1,2,3,3,2,3,3,3,2,3,4,4,4,3,3,4,4,5,4,5,4,4,5,3,4,10,4,Sim,5,4,2,4,4,4,4,5,4,2
Feminino,Entre 55 a 64 anos,9.º ano de escolaridade,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,2,2,4,4,4,5,5,5,5,3,3,5,4,Sim,4,4,3,4,4,4,4,4,4,3
Feminino,Entre 25 a 34 anos,Curso Tecnológico/ Profissional,5,5,5,5,5,4,5,5,5,5,5,2,5,3,4,2,2,5,5,5,5,5,4,5,5,5,5,3,Sim,4,1,4,5,5,5,5,1,1,2
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,Sim,5,1,5,5,5,5,5,1,1,5
Feminino,Entre 45 a 54 anos,Licenciatura,5,5,4,2,4,4,4,5,5,3,3,4,3,3,3,3,2,5,5,3,3,4,4,5,4,4,9,4,Sim,3,3,3,3,3,3,3,5,5,3
Feminino,Entre 18 a 24 anos,Licenciatura,4,4,4,2,3,2,3,5,4,4,4,4,4,3,2,2,2,3,4,4,4,4,3,3,3,4,7,5,Sim,4,5,3,4,4,3,4,4,4,3
Feminino,Entre 35 a 44 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,5,10,4,Sim,5,4,2,4,5,5,5,5,4,1
Feminino,Entre 18 a 24 anos,Curso Tecnológico/ Profissional,4,3,4,3,3,3,4,3,4,4,4,3,3,3,3,2,1,4,4,3,4,4,4,4,2,5,9,4,Sim,3,5,2,2,4,4,4,5,4,3
Feminino,Menos de 17 anos,Curso Tecnológico/ Profissional,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,Sim,5,5,5,5,5,5,5,1,1,1
Feminino,Entre 25 a 34 anos,Licenciatura,5,5,5,5,5,4,5,5,5,4,4,4,4,2,4,2,3,5,5,3,3,3,4,4,3,4,7,3,Sim,5,4,3,3,4,4,4,4,2,4
Feminino,Entre 35 a 44 anos,12.º ou equivalente,5,2,2,4,4,2,5,5,5,5,5,5,4,4,5,5,5,4,3,3,4,5,4,4,2,4,8,3,Sim,3,5,2,2,4,3,2,4,4,2
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,4,5,4,5,5,5,4,4,5,1,1,4,3,2,5,4,4,5,4,4,5,5,5,9,4,Sim,5,5,3,4,4,3,3,4,4,3
Feminino,Entre 25 a 34 anos,9.º ano de escolaridade,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,1,5,9,4,Sim,5,2,2,5,5,5,5,4,3,4
Masculino,Entre 18 a 24 anos,12.º ou equivalente,5,3,5,3,3,5,4,5,5,5,5,4,4,4,4,4,3,5,4,4,5,5,4,4,4,4,8,4,Sim,5,5,5,4,4,5,5,5,3,3
Feminino,Entre 35 a 44 anos,12.º ou equivalente,5,5,5,5,5,5,5,5,5,1,5,3,3,3,1,1,1,5,5,2,1,5,5,5,5,5,10,3,Sim,5,2,5,3,3,5,5,2,2,1
Masculino,Entre 35 a 44 anos,Pós-Graduação,4,3,3,3,4,3,3,4,3,4,3,4,4,4,3,2,1,3,5,3,3,5,5,5,1,5,10,4,Sim,4,5,2,5,5,5,5,3,4,5
Feminino,Entre 35 a 44 anos,Mestrado,5,5,5,5,5,4,4,5,5,4,4,1,5,3,1,1,1,5,4,2,2,3,4,4,1,4,4,2,Sim,4,5,3,3,2,4,3,4,4,3
Masculino,Mais de 65 anos,12.º ou equivalente,4,4,3,2,2,1,1,5,3,1,2,1,1,1,2,1,1,2,1,3,2,2,2,3,3,2,2,2,Não,1,4,3,2,3,3,3,5,5,2
Masculino,Entre 45 a 54 anos,12.º ou equivalente,3,3,3,2,3,3,3,3,3,3,3,4,3,2,3,3,2,4,4,4,4,3,4,4,3,4,7,4,Sim,4,2,2,4,4,4,4,3,3,4
Feminino,Mais de 65 anos,Licenciatura,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,8,5,Sim,4,2,3,4,4,4,4,4,4,2
Masculino,Entre 18 a 24 anos,Mestrado,5,5,5,5,5,3,4,5,4,3,4,5,3,3,3,2,3,5,5,5,5,5,4,5,5,4,8,5,Sim,5,3,4,3,5,5,5,5,4,4
Feminino,Entre 18 a 24 anos,Curso Tecnológico/ Profissional,5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,1,5,5,4,5,4,4,5,4,4,10,5,Sim,5,2,4,5,5,5,5,1,1,3
Feminino,Entre 25 a 34 anos,Licenciatura,4,4,4,1,2,2,4,4,4,4,3,5,4,4,4,2,3,5,4,3,4,5,4,5,1,4,7,5,Sim,4,4,2,3,3,3,4,5,3,3
Masculino,Entre 25 a 34 anos,Licenciatura,4,4,4,4,3,3,4,4,4,2,3,3,2,4,3,2,3,4,4,4,4,4,3,4,1,5,8,5,Sim,4,3,2,4,4,4,4,3,2,3
Masculino,Entre 35 a 44 anos,Licenciatura,5,5,5,5,5,5,5,5,5,2,3,5,3,5,5,2,2,5,5,4,5,5,5,5,5,5,10,5,Sim,5,3,3,3,4,4,4,4,3,2
Feminino,Entre 35 a 44 anos,12.º ou equivalente,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,3,3,5,5,5,5,5,4,5,3,5,7,5,Sim,5,4,5,4,5,5,5,5,5,5
Masculino,Entre 35 a 44 anos,Licenciatura,5,4,4,3,4,4,5,5,5,5,5,4,5,2,1,1,1,5,5,5,5,5,5,5,3,5,4,4,Sim,4,5,2,4,3,5,4,5,5,1
Feminino,Entre 45 a 54 anos,Licenciatura,5,4,3,3,5,4,5,4,4,5,4,4,4,3,3,3,2,5,4,4,4,5,5,5,3,5,7,4,Sim,5,4,3,4,4,4,4,4,4,2
Feminino,Entre 35 a 44 anos,Curso Tecnológico/ Profissional,4,4,4,4,4,4,3,4,4,2,2,3,3,3,3,3,1,3,3,3,3,4,4,4,4,4,8,3,Sim,4,5,4,4,4,5,4,5,5,4
Masculino,Mais de 65 anos,9.º ano de escolaridade,3,3,3,4,4,3,4,5,4,4,5,3,3,3,2,2,2,4,3,5,4,4,4,4,3,5,5,3,Sim,4,3,3,4,4,4,4,5,4,5
Feminino,Entre 25 a 34 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,5,5,4,5,5,5,5,4,5,10,5,Sim,5,4,3,5,5,5,5,4,4,3
Feminino,Entre 35 a 44 anos,Mestrado,4,4,4,4,4,4,4,4,4,4,2,4,5,3,4,2,2,5,4,4,4,5,5,5,3,5,10,5,Sim,5,5,5,5,5,5,5,4,3,2
Feminino,Entre 35 a 44 anos,Licenciatura,5,5,3,3,3,4,5,5,5,4,4,4,3,4,3,3,3,4,4,4,4,4,4,5,3,4,9,4,Sim,4,4,1,2,4,2,2,5,4,1
Feminino,Entre 18 a 24 anos,12.º ou equivalente,5,5,5,5,5,5,5,5,5,5,5,4,3,3,2,2,1,4,3,3,3,3,3,3,3,4,9,4,Sim,4,4,2,4,4,4,5,5,5,3
Feminino,Entre 45 a 54 anos,12.º ou equivalente,5,5,4,4,5,4,5,5,5,5,5,4,4,4,4,3,3,5,4,3,3,4,3,5,4,5,8,5,Sim,4,4,3,5,5,5,5,5,5,3
Feminino,Entre 45 a 54 anos,12.º ou equivalente,5,3,3,3,4,4,5,5,5,5,3,5,5,3,5,3,3,5,5,5,5,5,2,4,2,5,6,4,Sim,4,3,5,5,5,5,5,2,2,4
Feminino,Entre 35 a 44 anos,Licenciatura,5,5,5,5,5,4,4,5,4,4,5,5,4,5,4,5,5,4,4,4,4,4,4,5,3,4,8,4,Sim,4,4,2,2,4,4,4,4,4,2
Feminino,Entre 45 a 54 anos,12.º ou equivalente,4,4,4,4,4,2,2,4,4,4,2,3,4,4,3,3,3,4,4,3,3,3,3,3,3,4,9,4,Sim,4,4,2,2,4,4,2,4,4,4
Feminino,Entre 35 a 44 anos,Mestrado,5,4,5,5,5,3,3,5,5,3,3,5,3,3,5,3,4,5,4,5,5,5,4,5,3,5,10,5,Sim,5,3,3,5,5,5,5,3,3,3
Feminino,Entre 18 a 24 anos,Licenciatura,5,3,2,3,3,5,5,5,4,5,5,1,2,3,3,2,2,5,5,5,5,5,5,5,3,5,8,4,Sim,4,5,3,3,5,3,4,5,4,2
Masculino,Entre 45 a 54 anos,Licenciatura,3,4,3,1,3,2,4,5,2,5,5,4,4,2,3,3,3,4,4,4,5,4,3,5,1,4,8,4,Sim,4,2,3,4,5,4,5,3,2,3
Masculino,Entre 55 a 64 anos,12.º ou equivalente,5,5,5,5,5,3,5,5,5,3,4,5,3,3,3,1,1,3,1,2,4,4,4,3,3,4,5,4,Sim,4,4,3,4,4,3,4,5,5,4
Feminino,Entre 25 a 34 anos,Curso Tecnológico/ Profissional,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,10,5,Sim,4,3,3,5,5,5,5,5,3,4
Feminino,Entre 25 a 34 anos,Mestrado,5,5,5,4,5,5,5,5,5,4,5,5,4,4,4,3,3,5,5,5,5,5,4,5,4,4,9,5,Sim,4,4,3,5,5,5,5,5,4,3
Feminino,Entre 35 a 44 anos,Licenciatura,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,Sim,5,5,5,5,5,5,5,1,1,1
Masculino,Entre 35 a 44 anos,Mestrado,3,3,3,2,2,2,2,3,2,3,3,3,3,2,3,2,1,3,3,3,3,3,3,3,1,5,8,4,Sim,3,2,3,3,3,3,3,2,1,3
Feminino,Entre 55 a 64 anos,Mestrado,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,3,5,5,5,5,5,5,5,5,5,10,5,Sim,5,3,4,5,5,5,5,1,3,3
Feminino,Entre 45 a 54 anos,Mestrado,5,5,5,5,5,4,5,5,4,5,4,4,5,3,5,3,3,5,5,5,5,5,5,5,2,4,7,5,Sim,5,3,4,5,5,5,5,4,3,4
Feminino,Entre 18 a 24 anos,Licenciatura,5,5,5,3,5,3,5,5,4,3,2,3,5,5,4,2,1,5,4,4,3,5,5,5,1,5,10,4,Sim,5,5,1,5,5,5,5,4,4,3
